"C_MENU,C,1","C_REC,C,1","NAME_REC,C,35","ENDS,L"
"P","Ж","ЗИЛ-СААЗ-4545",ЛОЖЬ
"C","z","ЗАО ""СААЗ АМО ЗИЛ"" Россия",ЛОЖЬ
"┤","J","ООО ""КРЦ-АВТО""",ЛОЖЬ
"H","Ь","Штаб",ЛОЖЬ
"H","й","Зам.начальника по спецподразделения",ЛОЖЬ
"F","I","18мест",ЛОЖЬ
"Q","]","Урал-32551",ЛОЖЬ
"Q","^","НЕФАЗ-4208",ЛОЖЬ
"F","J","21место",ЛОЖЬ
"F","K","22места",ЛОЖЬ
"C","{","ООО ""Джи Эм Авто"" Россия",ЛОЖЬ
"┤","K","ООО ""Юг-Кровля""",ЛОЖЬ
"\",",","ЭД-10С-1400",ЛОЖЬ
"H","L","Инспекция",ЛОЖЬ
"H","Г","Отд. по взаим. с орган.испол.власти",ЛОЖЬ
"H","Р","Руководящий состав",ЛОЖЬ
"G","Z","ГОСТ Р50574-2002",ЛОЖЬ
"C","|","ООО НПФ ""ГАЛАНТ-АВТО""",ЛОЖЬ
"J","n","ОАО ""АвтоВАЗ""",ЛОЖЬ
"Q","_","ГАЗ-325652",ЛОЖЬ
"P","З","29626",ЛОЖЬ
"Q","`","ПАЗ-3206",ЛОЖЬ
"J","x","ОАО Кубань Лада",ЛОЖЬ
"░","9","ФКУ НПО ""СТиС""",ЛОЖЬ
"H","У","Совет ветеранов",ЛОЖЬ
"P","И","Фиат Дукато",ЛОЖЬ
"F","L","12 мест",ЛОЖЬ
"H","3","ФКУ",ЛОЖЬ
"f",,"Сезонность шин",
"f","(","лето",
"f",")","зима",ЛОЖЬ
"f","*","всесезонная",ЛОЖЬ
"g",,"Тип шины",
"g","(","стандартная",
"g",")","шипованная",ЛОЖЬ
"g","*","""липучка""",ЛОЖЬ
"h",,"Размер шин",
"h","(","175/70х13",
"░","=","разъездная",ЛОЖЬ
"_","E","KIA RIO",ЛОЖЬ
"░",">","ТЫЛ",ЛОЖЬ
"P","Й","КАМАЗ-43118-15КС-55726-2",ЛОЖЬ
"C","}","ОАО ""Угличмаш""",ЛОЖЬ
"_","F","Фольскваген Мультивен",ЛОЖЬ
"H","@","зам.нач. АТХ",ЛОЖЬ
"T","2","КС-700",ЛОЖЬ
"C","~","Костромской судомеханически з-д",ЛОЖЬ
"R","<","МСА, 822141",ЛОЖЬ
"R","=","МЗСА, 822141",ЛОЖЬ
"E","w","Патрульный",ЛОЖЬ
"_","G","Мицубиси Аутлендер",ЛОЖЬ
"C","","Мицубиси МОТОРС КОРП. (Япония)",ЛОЖЬ
"P","К","КАМАЗ-5350",ЛОЖЬ
"E","x","Реанимобиль",ЛОЖЬ
"i","(",,ЛОЖЬ
"F","M","925кг",ЛОЖЬ
"┤","L","Северо-Западное ОУМТС С-Петербург",ЛОЖЬ
"H","E","Зам. начальника полиции по оператив",ЛОЖЬ
"H","I","Зам. нач. полиции по ООП",ЛОЖЬ
"H","f","Зам .нач. полиции по общим вопроса",ЛОЖЬ
"_","H","Лада-219010Гранта",ЛОЖЬ
"░","?","ОТЭиК",ЛОЖЬ
"░","@","ООХВИ",ЛОЖЬ
"░","A","ОСВиМТИ",ЛОЖЬ
"5","/","ПКФ-338",ЛОЖЬ
"C","А","ООО ""ТРАНСЛАЙН""",ЛОЖЬ
"D","O","одноковшовый фронтальный",ЛОЖЬ
"O","=","Есаул-394511-03",ЛОЖЬ
"┤","M","Центр спец.назначения БДД МВД РФ",ЛОЖЬ
"C","Б","""МАГНА СТЕЙР"" Австрия",ЛОЖЬ
"C","В","""ФОРДЕ ВЕРКЕ ГМБХ"" Германия",ЛОЖЬ
"_","I","Хундай Солярис",ЛОЖЬ
"_","J","Опель P-J Астра",ЛОЖЬ
"_","K","Рено Сандеро",ЛОЖЬ
"_","L","Рено Дастер",ЛОЖЬ
"C","Г","ООО ""ХММР"" (РОССИЯ)",ЛОЖЬ
"_","M","KIO Sorento",ЛОЖЬ
"F","N","17мест",ЛОЖЬ
"░","8","Временная опер. группа",ЛОЖЬ
"F","O","микроавтобус",ЛОЖЬ
":",")","Ми-8АМТ",ЛОЖЬ
"7","+","УДМ-Е на базе Беларус-920",ЛОЖЬ
"C","Д","ООО ""Торговый дом МТЗ-ЕлАЗ""",ЛОЖЬ
"E","y","Универсальная дорожная машина",ЛОЖЬ
"G","[","черно-красный",ЛОЖЬ
"\","-","ППС-248-МКУ-1,3т",ЛОЖЬ
"C","Е","ООО ""Коммунсельхозтехника""",ЛОЖЬ
"C","Ж","ООО ""Эллада Интертрейд""",ЛОЖЬ
"┤","N","21-й отд.",ЛОЖЬ
"j",,"серебристо голубой",
"░",":","Сводный отряд г. Сочи",ЛОЖЬ
"P","Л","КАМАЗ-65117-А4",ЛОЖЬ
"Q","a","38406L",ЛОЖЬ
"C","З","ООО ""ПРОТЕХ"" Россия",ЛОЖЬ
"C","И","ООО ""ТРАНСЛАЙН""",ЛОЖЬ
"5","0","ПВ-3000Д",ЛОЖЬ
"P","М","КО-503В-2",ЛОЖЬ
"C","Й","ОАО ""КОММАШ"" г.Арзамас",ЛОЖЬ
"Q","b","ИМЯ-М-194771",ЛОЖЬ
"C","К","ЗАО КОМПАНИЯ ""ИМЯ-М""(россия)",ЛОЖЬ
"Q","c","29791Х",ЛОЖЬ
"F","P","554кг",ЛОЖЬ
"Q","d","КАВЗ-4235-42",ЛОЖЬ
"Q","e","ГАЗ-322173",ЛОЖЬ
"D","P","особо малый класс до 5м",ЛОЖЬ
"D","Q","малый класс от 5 до 7м",ЛОЖЬ
"D","R","средний класс от 7,5 до 9,5м",ЛОЖЬ
"D","S","большой класс от 9,5 до 12м",ЛОЖЬ
"D","T","особо бальшой класс больше 12м",ЛОЖЬ
"_","N","Лада Гранта 219060",ЛОЖЬ
"H",";","Сводный отряд Крым",ЛОЖЬ
"E","z","Комплекс БПЛА",ЛОЖЬ
"P","Н","22278С",ЛОЖЬ
"C","Л","ООО ""СТ НИЖЕГОРОДЕЦ""",ЛОЖЬ
"A","5","Авиационная техника",ЛОЖЬ
"_","O","БМВ-520 IA",ЛОЖЬ
"_","P","БМВ-530 IA",ЛОЖЬ
"Q","f","ПАЗ-423001",ЛОЖЬ
"_","Q","Лада Ларгус",ЛОЖЬ
"P","О","Хундай Портер",ЛОЖЬ
"P","П","299011",ЛОЖЬ
"D","U","БПЛА",ЛОЖЬ
"_","R","БМВ-730 IAL",ЛОЖЬ
"_","S","Ssang Yong Rexton",ЛОЖЬ
"7",",","КМ 82БГ",ЛОЖЬ
"D","V","коммунальная уборочная",ЛОЖЬ
"E","{","Коммунально-уборочная",ЛОЖЬ
"C","М","ООО ""Беловеж-Техно""",ЛОЖЬ
"O",">","УАЗ-197291",ЛОЖЬ
"P","Р","6619-24 на шасси КАМАЗ-43118",ЛОЖЬ
"O","?","ЛУИДОР 2250А0",ЛОЖЬ
"B",")","Федерал-42590",ЛОЖЬ
"B","*","ФЕДЕРАЛ-42590",ЛОЖЬ
"Q","g","ФЕДЕРАЛ-42590",ЛОЖЬ
"E","|","Скорая помощь",ЛОЖЬ
":","*","Беспилотный летательный аппарат",ЛОЖЬ
"E","}","БПЛА",ЛОЖЬ
"┤","O","ООО ""ЦСТ""",ЛОЖЬ
"_","T","Фольскваген Тигуан",ЛОЖЬ
"Q","h","ГАЗ-32212",ЛОЖЬ
"F","Q","1350кг",ЛОЖЬ
"Q","i","Соллерс В-ВФ",ЛОЖЬ
"_","U","Форд Торнео",ЛОЖЬ
"G","\","серебристо-золотистый",ЛОЖЬ
"C","Н","ООО ""Форд Соллерс Холдинг"" Россия",ЛОЖЬ
"O","@","ЛУИДОР-2250С2",ЛОЖЬ
"Q","j","ЛиАЗ-525661",ЛОЖЬ
"P","С","КАМАЗ-43118-46",ЛОЖЬ
"G","]","защитный",ЛОЖЬ
"P","Т","70822В на базе ГАЗ-2705",ЛОЖЬ
"F","R","7 мест",ЛОЖЬ
"E","~","Рентгеновская установка",ЛОЖЬ
"C","О","Rapiscan Systems limited",ЛОЖЬ
,"(",,
"P","У","Rapiscan 636SV Mercedes Sprinter516",ЛОЖЬ
"_","V","TOYOTA RAV4",ЛОЖЬ
"┤","P","ФГУП ""РНИИРС""",ЛОЖЬ
"_","W","ЛАДА-217050",ЛОЖЬ
"P","Ф","КО-829А1-01",ЛОЖЬ
"E","","машина комбинированная",ЛОЖЬ
"D","W","комбинированная",ЛОЖЬ
"F","S","7070кг",ЛОЖЬ
"Q","k","ПАЗ-320402-05",ЛОЖЬ
"F","T","25 мест",ЛОЖЬ
"O","A","УАЗ-316300",ЛОЖЬ
"Q","l","3227SD",ЛОЖЬ
"H","?","Отдел ремонта оргтехники",ЛОЖЬ
"_","X","Мерседес Бенц G500",ЛОЖЬ
"P","Х","КО-505А",ЛОЖЬ
"A","+","Грузовой",
"P","Ц","70822А на базе ГАЗ-2705",ЛОЖЬ
"_","Y","БМВ-528I XDRIVE",ЛОЖЬ
"_","Z","Шкода Йети",ЛОЖЬ
"C","П","ЗАО ""ТЕХНИКА""",ЛОЖЬ
"_","[","Хундай VF (i40)",ЛОЖЬ
"Q","m","КАВЗ 4238-41",ЛОЖЬ
"F","U","44 места",ЛОЖЬ
"P","Ч","ГАЗ-27527",ЛОЖЬ
"R",">","833801",ЛОЖЬ
"C","Р","ООО АЗК ""ТОР"" Россия",ЛОЖЬ
"R","?","МЗСА 817711",ЛОЖЬ
"R","@","84382С",ЛОЖЬ
"k","(","Прицеп-цистерна ПЦ-1,2",ЛОЖЬ
"Q","n","УАЗ-220695-04",ЛОЖЬ
"Q","o","224351 Citroen Jumper",ЛОЖЬ
"D","X","спецтехника",ЛОЖЬ
"C","С","ООО ""Промтех"" Россия",ЛОЖЬ
"D","Y","водоцистерна",ЛОЖЬ
"Q","p","VOLGABUS-528500",ЛОЖЬ
"H","D","Зам. начальника по КМ",ЛОЖЬ
"H","Q","Руководство полиции",ЛОЖЬ
"H","S","Руководство вн.слу.",ЛОЖЬ
"_","\","KIA XM FL (Sorento)",ЛОЖЬ
"_","]","Форд Eксплорер",ЛОЖЬ
"P","Ш","2784MJ",ЛОЖЬ
"\",".","ПТ 2-2,7-1",ЛОЖЬ
"C","Т","ООО ""СЕВЗАПСПЕЦМАШ-ПРИЦЕПЫ""",ЛОЖЬ
"E","А","Пунт обеспечения жизнедеятельности",ЛОЖЬ
"D","Z","пункт обеспечения жезнедеятельности",ЛОЖЬ
"_","^","ВИС-294611",ЛОЖЬ
"Q","q","ЛиАЗ-5251",ЛОЖЬ
"P","Щ","27322Е",ЛОЖЬ
"C","У","ООО ""РусКомТранс""",ЛОЖЬ
"\","/","АД 16-Т400",ЛОЖЬ
"Q","r","F22703",ЛОЖЬ
"F","V","14 мест",ЛОЖЬ
"P","Ъ","326043 на шасси ГАЗ-3309",ЛОЖЬ
"P","m","326041 на шасси ГАЗ-3302",ЛОЖЬ
"Q","s","КАВЗ-4235-01",ЛОЖЬ
"F","W","54 места",ЛОЖЬ
"Q","t","ГАЗ-А64R42",ЛОЖЬ
"O","B","УАЗ-3163-015",ЛОЖЬ
"P","Ь","УАЗ-396222",ЛОЖЬ
"_","_","Лада-219170",ЛОЖЬ
"J","╢","ФСКН ГУ МВД РФ по РО",ЛОЖЬ
"J","╖","УФМС ГУ МВД РФ по РО",ЛОЖЬ
"_","`","Ssahg Yong Kyron DJ",ЛОЖЬ
"_","a","Киа Маджентис (GD2222)",ЛОЖЬ
"_","b","Ssahg Yong KyronDJ6MLW",ЛОЖЬ
"┤","Q","ФСКН ГУ МВД РФ по РО",ЛОЖЬ
"Q","u","28292",ЛОЖЬ
"Q","v","32560c",ЛОЖЬ
"Q","w","32590c",ЛОЖЬ
"R","A","82980C",ЛОЖЬ
"_","c","Фольскваген Туарег",ЛОЖЬ
"_","d","ТАГАЗ FJR (Road Partner)",ЛОЖЬ
"Q","x","224322 Форд Транзит",ЛОЖЬ
"Q","y","2227SK",ЛОЖЬ
"T","3","Корвет-600",ЛОЖЬ
"T","4","Vista-258",ЛОЖЬ
"R","B","МЗСА 821711",ЛОЖЬ
"P","Э","ГАЗ-САЗ-35071",ЛОЖЬ
"7","-","Беларус-82МК-Е",ЛОЖЬ
"\","0","ОПМ-3.5",ЛОЖЬ
"░",";","КОН",ЛОЖЬ
"░","<","Отдел Миграции",ЛОЖЬ
"S","1",,ЛОЖЬ
"A","9","Мотовездеход",ЛОЖЬ
"B","l","Мотовездеход",ИСТИНА
"l","(","Baltmotors-SMC 700 JUMBO MAX",ЛОЖЬ
"C","Ф","ООО ""Калининградский мотозавод""",ЛОЖЬ
"D","[","для перевозки грузов ти сам. техник",ЛОЖЬ
"E","Б","Мотовездеход",ЛОЖЬ
"E","В","Малотоннажный",ЛОЖЬ
"░","B","ЦВСИГ",ЛОЖЬ
"┤","R","УТ МВД России по СКФО",ЛОЖЬ
"G","^","серо-коричневый",ЛОЖЬ
"*","1","ГОЗ",ЛОЖЬ
"*","2","ЧМ по футболу",ЛОЖЬ
"*","3","Доп. план снабжения",ЛОЖЬ
"I","9","ГОЗ",ЛОЖЬ
"I",":","Чемпионат мира по футболу",ЛОЖЬ
"C","Х","ЗАО ""РЕНО РОССИЯ""",ЛОЖЬ
"H","U","Оружейная мастерская",ЛОЖЬ
"P","Ю","5027А1 на базе КАМАЗ",ЛОЖЬ
"C","Ц","ООО КОМПАНИЯ ""ПИК ПБА""(Россия)",ЛОЖЬ
"F","X","9100",ЛОЖЬ
"F","Y","39 мест",ЛОЖЬ
"F","Z","47 мест",ЛОЖЬ
"F","[","45 мест",ЛОЖЬ
"F","\","23места",ЛОЖЬ
"F","]","31 место",ЛОЖЬ
"I",";","Вне плана ГОЗ",ЛОЖЬ
"Q","z","185101 Форд Транзит",ЛОЖЬ
"E","Г","""Волна""",ЛОЖЬ
"C","Ч","ООО ""ИМЯ-АВТО"" (Россия)",ЛОЖЬ
"R","C","WHALE4",ЛОЖЬ
"┤","S","ФКУ ""ЦХиСО по Московской области""",ЛОЖЬ
"T","5","Альянс-5,8",ЛОЖЬ
"T","6","Алюр-43",ЛОЖЬ
"_","e","Хундай Грета",ЛОЖЬ
"_","f","ЛАДА ВЕСТА",ЛОЖЬ
"Q","{","УАЗ-396295",ЛОЖЬ
"_","g","Мазда СХ-5",ЛОЖЬ
"P","Я","ИЖ-2715",ЛОЖЬ
"H","n","Сыскной отдел",ЛОЖЬ
"H","t","ОВ по охране ДП и КИГ",ЛОЖЬ
"H","w","ОСН ""Гром""",ЛОЖЬ
"E","Д","Автогидроподъемник",ЛОЖЬ
"P","а","Чайка Сервис 27845R",ЛОЖЬ
"O","C","ЛУИДОР-2250А7",ЛОЖЬ
"C","Ш","ООО ""ПКФ ""Луидор"" Россия",ЛОЖЬ
"T","7","МАСТЕР-521",ЛОЖЬ
"P","б","3295 на базе ГАЗ-3309",ЛОЖЬ
"O","D","AG 412230",ЛОЖЬ
"Q","|","2327SD на базе Форд Транзит",ЛОЖЬ
"E","Е","Радиотехническая лаборатория",ЛОЖЬ
"┤","T","ООО ""СТЦ""",ЛОЖЬ
"Q","}","КАВЗ-4238-42",ЛОЖЬ
"░","4","Комендантский отдел",ЛОЖЬ
"H","","Руководство УУПиПДН",ЛОЖЬ
"P","в","ЧАЙКА-СЕРВИС 27845J",ЛОЖЬ
"T","8","МАСТЕР-651",ЛОЖЬ
"┤","U","ОПБ ГУ МВД РФ по Краснодарскому кра",ЛОЖЬ
"P","г","КАМАЗ 65117-62",ЛОЖЬ
"┤","V","Санаторий ""Искра""",ЛОЖЬ
"T","9","Альянс-4,6",ЛОЖЬ
"R","D","82944С",ЛОЖЬ
"C","Щ","ООО ""ТРЕЙЛЕР""",ЛОЖЬ
"░","C","УОТО",ЛОЖЬ
"C","Ъ","ООО ""ПСМА РУС""",ЛОЖЬ
"E","Ж","Снегоболотоход",ЛОЖЬ
"E","З","Прицеп для перевозки снегоболотоход",ЛОЖЬ
"l",")","STELS ATV800G",ЛОЖЬ
"A","3","Снегоболотоход",ЛОЖЬ
"A",";","Прицепная техника",ЛОЖЬ
"C","Ы","ООО ""Жуковский веломотозавод""Брянск",ЛОЖЬ
"H","З","Списание",ЛОЖЬ
"P","д","2824NE на базе ГАЗ-А21R32",ЛОЖЬ
"S","2","BMW F800GT",ЛОЖЬ
"C","Ь","БАЙЕРИШЕ МОТОРЕН ВЕРКЕ АГ ГЕРМАНИЯ",ЛОЖЬ
"A","<","Мототехника",ЛОЖЬ
"D","\","прицеп -цистерна для воды",ЛОЖЬ
"_","h","Шкода Рапид",ЛОЖЬ
"H","Ц","Общественный совет",ЛОЖЬ
"H","д","Отдел закупок",ЛОЖЬ
"P","ж","287660 на базе ГАЗ-А21R23",ЛОЖЬ
"░","D","Юристы",ЛОЖЬ
"P","е","326070 на шасси C41R13-АЗ",ЛОЖЬ
"B","+","Альянс-8,5",ЛОЖЬ
"R","E","МЗСА, 823111",ЛОЖЬ
"P","з","КАМАЗ-65117-А5",ЛОЖЬ
"P","и","5648- на шасси Урал-5557",ЛОЖЬ
"J","╕","ОАО ""Граз""",ЛОЖЬ
"J","╣","ОАО ""ЗАВОД СТРОММАШИНА""",ЛОЖЬ
"C","Э","ОАО ""Граз""",ЛОЖЬ
"C","Ю","ОАО ""ЗАВОД СТРОММАШИНА""",ЛОЖЬ
"┤","W","ФКУ ЦХиСО ГУ МВД РФ по Московской о",ЛОЖЬ
"░","E","Резерв",ЛОЖЬ
"*","4","Целевое назначение",ЛОЖЬ
"_","i","Хундай Туксон",ЛОЖЬ
"┤","X","ФГУП ""РНИИРС""",ЛОЖЬ
"T",":","Wyatboagt 490pro",ЛОЖЬ
"T",";","Мастер Про680 САВ",ЛОЖЬ
"R","F","ЛАВ-81018А",ЛОЖЬ
"R","G","МЗСА-81771G",ЛОЖЬ
"H","к","Утилизация",ЛОЖЬ
"E","И","Прицеп для перевозки грузов",ЛОЖЬ
"E","Й","Прицеп для перевозки катеров",ЛОЖЬ
"E","К","Полуприцеп с поливомоечным оборудо",ЛОЖЬ
"E","Л","Прицеп-цистерна",ЛОЖЬ
"E","М","Прицеп передвижной пункт полиции",ЛОЖЬ
"E","Н","Полуприцеп с навесным оборудованием",ЛОЖЬ
"5","1","АНТ 750",ЛОЖЬ
"C","Я","АО ""КЭМЗ"",РФ",ЛОЖЬ
"D","]","фронтальный",ЛОЖЬ
"░","F","Опергруппа",ЛОЖЬ
"P","й","Урал-4320-5111-73",ЛОЖЬ
"_","j","185002 Шкода Октавиа",ЛОЖЬ
"C","а","ООО ""Центр подготовки и поддержки """,ЛОЖЬ
"Q","К","ГАЗ-A65R33",ЛОЖЬ
"P","к","УАЗ-19641",ЛОЖЬ
"e",,"Реализация",
"H","О","Реализация",ЛОЖЬ
"Q","Л","GST2SN",ЛОЖЬ
"_","k","LADA XRAY",ЛОЖЬ
"P","л","ГАЗ-А31R23",ЛОЖЬ
"Q","М","ПАЗ-320405-04",ЛОЖЬ
"_","l","Лада Ларгус KS045L",ЛОЖЬ
"N","-","RKTKAC на базе Киа Соренто",ЛОЖЬ
"E","О","лаборатория измерительная",ЛОЖЬ
"H","Щ","Сводный отряд",ЛОЖЬ
"T","<","Nord Silver 1440",ЛОЖЬ
"┤","Y","ЦХиСО УМВД РФ по Калининградской об",ЛОЖЬ
"P","н","ГАЗ-А32R23",ЛОЖЬ
"F","^","3 места",ЛОЖЬ
"P","м","ГАЗ-А22R23",ЛОЖЬ
"_","m","Citroen Space Tourer",ЛОЖЬ
"_","n","Peugeot Traveller",ЛОЖЬ
"P","о","ГАЗ-САЗ-2507",ЛОЖЬ
"Q","Н","ГАЗ-А65R52",ЛОЖЬ
"Q","О","ГАЗ-А32R22",ЛОЖЬ
"Q","П","ГАЗ-А22R23",ЛОЖЬ
"Q","Р","ГАЗ-А65R23",ЛОЖЬ
"O","E","УАЗ-23632-155-20",ЛОЖЬ
"D","^","Пикап",ЛОЖЬ
"Q","С","ГАЗель БИЗНЕС",ЛОЖЬ
"Q","Т","ЛУИДОР-225050",ЛОЖЬ
"_","o","LADA 4х4",ЛОЖЬ
"P","п","5986 на базе КАМАЗ",ЛОЖЬ
"D","_","кунг",ЛОЖЬ
"P","░","ГАЗ-А32R22",ЛОЖЬ
"P","▒","ГАЗ-33027",ЛОЖЬ
"Q","У","ЛиАЗ-529000",ЛОЖЬ
"C","б","ООО ""Хендэ Мотор Мануфактуринг Рус""",ЛОЖЬ
"Q","Ф","ИАЦ-1767ВА (А69R23)",ЛОЖЬ
"P","▓","MARS/15",ЛОЖЬ
"O","F","ЭФИР-Н на базе Ниссан Патфиндер",ЛОЖЬ
"E","П","А/м для транспортировки катера",ЛОЖЬ
"_","p","Лада-219070",ЛОЖЬ
"░","G","ОСТМ",ЛОЖЬ
"_","q","RUSFOS",ЛОЖЬ
"O","G","УАЗ-1846",ЛОЖЬ
"P","│","ЛУИДОР-2250ЕХ",ЛОЖЬ
"P","┤","ГАЗЕЛЬ БИЗНЕС",ЛОЖЬ
"P","╡","ГАЗ-С41R13",ЛОЖЬ
"P","╢","ГАЗ-А21R23",ЛОЖЬ
"P","╖","ГАЗ-А62R33",ЛОЖЬ
"P","╕","ГАЗ-27057",ЛОЖЬ
"P","╣","ГАЗ-22177",ЛОЖЬ
"O","H","УАЗ-3163-285-20",ЛОЖЬ
"O","I","УАЗ-3163-015-51",ЛОЖЬ
"O","J","УАЗ-3163-286-60",ЛОЖЬ
"░","H","Чеченская Республика",ЛОЖЬ
"░","I","СОП № 5 Чертково",ЛОЖЬ
"░","J","СОП № 1 Покровское",ЛОЖЬ
"░","K","СОП № 2 Новошахтинск",ЛОЖЬ
"░","L","СОП № 3 Каменск",ЛОЖЬ
"░","M","СОП № 4 Миллерово",ЛОЖЬ
"P","║","574109 КАМАЗ-43118-50",ЛОЖЬ
"Q","Х","РКТ на базе ПАЗ-320405",ЛОЖЬ
"E","Р","АДЗ",ЛОЖЬ
"5","2","LONKING CDM307",ЛОЖЬ
"T","=","NORH SILVER PRO920MST",ЛОЖЬ
"R","H","ЛАВ-81023",ЛОЖЬ
"O","K","Есаул-394511-05",ЛОЖЬ
"P","╗","ПРОМАВТО 5759F1",ЛОЖЬ
"P","╝","УЗСТ-6619-60",ЛОЖЬ
"P","╜","УЗСТ-6619-60",ЛОЖЬ
"B","n","Грузовой 2",ИСТИНА
"n","(","УЗСТ-6619-60",ЛОЖЬ
"E","С","Автомобиль сопровождения",ЛОЖЬ
"Q","Ц","Фольскваген Крафтер 2EKZ",ЛОЖЬ
"┤","Z","ФКУ ""ЦХиСО ГУ МВД по Сератовской об",ЛОЖЬ
"Q","Ч","ГАЗ-27527",ЛОЖЬ
