"C_COEF,C,8","C_GR,C,1","COEF,N,10,2","NAME_COEF,C,35"
"N7E)","A",2080,
"N7E)","B",9,
"OOE(","A",4160,
"OOE(","B","18,5",
"OOE*","A",2900,
"OOE*","B","18,5",
"OOE+","A",2900,
"OOE+","B","18,5",
"OQE(","A",4160,
"OQE(","B","18,5",
"OQE*","A",3770,
"OQE*","B","20,1",
"OQE+","A",2900,
"OQE+","B","18,5",
"OSE(","A",4160,
"OSE(","B",19,
"OSE*","A",2900,
"OSE*","B",19,
"OSE+","A",2900,
"OSE+","B",19,
"OTE(","A",4160,
"OTE(","B",19,
"OTE*","A",2900,
"OTE*","B",19,
"OTE+","A",2900,
"OTE+","B",19,
"QWE(","A",4160,
"QWE(","B",17,
"QWE*","A",4160,
"QWE*","B",17,
"QWE+","A",4160,
"QWE+","B",17,
"N-E(","A",4160,
"N-E(","B","9,5",
"N-E*","A",2900,
"N-E*","B","9,5",
"N-E+","A",2900,
"N-E+","B","9,5",
"N.E(","A",4160,
"N.E(","B",10,
"N.E*","A",2900,
"N.E*","B",10,
"N.E+","A",2900,
"N.E+","B",10,
"N5E(","A",4160,
"N5E(","B",10,
"N5E*","A",2900,
"N5E*","B","8,5",
"N5E+","A",2900,
"N5E+","B","8,5",
"N3E(","A",4160,
"N3E(","B",11,
"N3E*","A",2900,
"N3E*","B",11,
"N3E+","A",2900,
"N3E+","B",11,
"N9E(","A",4160,
"N9E(","B",11,
"N9E*","A",2900,
"N9E*","B","8,5",
"N9E+","A",2900,
"N9E+","B","8,5",
"N6E(","A",4160,
"N6E(","B","11,5",
"N6E*","A",2900,
"N6E*","B",9,
"N6E+","A",2900,
"N6E+","B",9,
"N0E(","A",4160,
"N0E(","B",12,
"N0E*","A",2900,
"N0E*","B",12,
"N0E+","A",2900,
"N0E+","B",12,
"NFE(","A",4160,
"NFE(","B",14,
"NFE*","A",2900,
"NFE*","B",12,
"NFE+","A",2900,
"NFE+","B",12,
"N:E(","A",4160,
"N:E(","B",9,
"N=E(","A",4160,
"N=E(","B",9,
"N+E(","A",4160,
"N+E(","B",11,
"N+E*","A",2900,
"N+E*","B",11,
"N+E+","A",2900,
"N+E+","B",11,
"N(E(","A",4160,
"N(E(","B",11,
"N(E*","A",2900,
"N(E*","B",11,
"N(E+","A",2900,
"N(E+","B",11,
"N*E(","A",4160,
"N*E(","B","10,5",
"N*E*","A",2900,
"N*E*","B","11,5",
"N*E+","A",2900,
"N*E+","B","10,5",
"NKE(","A",4160,
"NKE(","B",15,
"NKE*","A",2900,
"NKE*","B",13,
"NKE+","A",2900,
"NKE+","B",13,
"NGE(","A",4160,
"NGE(","B",15,
"NGE*","A",2900,
"NGE*","B",13,
"NGE+","A",2900,
"NGE+","B",13,
"N-E)","A",2080,
"N-E)","B","8,5",
"N.E)","A",2080,
"N.E)","B",9,
"N3E)","A",2080,
"N3E)","B",9,
"N5E)","A",2080,
"N5E)","B","8,5",
"N9E)","A",2080,
"N9E)","B","8,5",
"N:E)","A",2080,
"N:E)","B",8,
"N=E)","A",2080,
"N=E)","B",8,
"NFE)","A",2080,
"NFE)","B",12,
"N(E)","A",2080,
"N(E)","B",10,
"N*E)","A",2080,
"N*E)","B",10,
"NKE)","A",2080,
"NKE)","B",13,
"NGE)","A",2080,
"NGE)","B",13,
"NJE)","A",2080,
"NJE)","B",13,
"ONE)","A",2080,
"ONE)","B",16,
"OOE)","A",2080,
"OOE)","B",16,
"N6E)","A",2080,
"N6E)","B",9,
"N8E)","A",2080,
"N8E)","B",9,
"N/E*","A",2900,
"N/E*","B","9,5",
"BNF(","C",13,
"BNF)","C",13,
"BNF*","C","11,2",
"BNF+","C","11,2",
"BN","C","11,2",
"BP@(","C",15,
"BP@)","C","11,2",
"BP@*","C","11,2",
"BPF(","C",15,
"BPF)","C",15,
"BPF*","C","11,2",
"BPF+","C","11,2",
"BP","C","11,2",
"BR","C",13,
"B\","C",13,
"BO","C","11,2",
"BQF)","C",15,
"BQF(","C",15,
"BQF*","C",13,
"BQF+","C",11,
"BQ","C",13,
"BS","C",20,
"A/","C","6,5",
"A0","C",12,
"B5","C",16,
,"D",7,
,"D",7,
,"D",7,
,"D",0,
,"D",0,
,"D",0,
,"D",0,
,"D",0,
,"D",0,
,"D",0,
,"D",0,
,"D",7,
"OPE+","A",2900,
"OPE+","B","18,5",
"OQE)","A",2080,
"OQE)","B",16,
"ORE)","A",2080,
"ORE)","B",14,
"OSE)","A",2080,
"OSE)","B",17,
"OSE0","A",2900,
"OSE0","B",19,
"OSE6","A",2080,
"OSE6","B","18,5",
"OSE1","A",2080,
"OSE1","B","18,5",
"OSE2","A",2080,
"OSE2","B","18,5",
"OSE3","A",2080,
"OSE3","B","18,5",
"OSE7","A",2080,
"OSE7","B",19,
"OSE9","A",2080,
"OSE9","B",18,
"OSE:","A",2080,
"OSE:","B",17,
"OSE?","A",4160,
"OSE?","B",19,
"OSE@","A",2080,
"OSE@","B","18,5",
"OSE.","A",2900,
"OSE.","B",19,
"OTE)","A",2080,
"OTE)","B",17,
"OTE.","A",2900,
"OTE.","B",19,
"OTE0","A",2900,
"OTE0","B",19,
"OTE1","A",2080,
"OTE1","B","18,5",
"OTE2","A",2080,
"OTE2","B","18,5",
"OTE3","A",2080,
"OTE3","B","18,5",
"OTE6","A",2080,
"OTE6","B","18,5",
"OTE:","A",2080,
"OTE:","B",17,
"OTE?","A",4160,
"OTE?","B",19,
"OTE@","A",2080,
"OTE@","B","18,5",
"OTEA","A",2500,
"OTEA","B",17,
"OTEB","A",2500,
"OTEB","B",17,
"OUE9","A",2080,
"OUE9","B",18,
"P(E(","A",4160,
"P(E(","B",19,
"P(E)","A",2080,
"P(E)","B",17,
"P(E0","A",2900,
"P(E0","B",19,
"P(E1","A",2080,
"P(E1","B","18,5",
"P(E2","A",2080,
"P(E2","B","18,5",
"P(E3","A",2080,
"P(E3","B","18,5",
"P(E6","A",2080,
"P(E6","B","18,5",
"P(E:","A",2080,
"P(E:","B",16,
"P(E?","A",4160,
"P(E?","B",19,
"P)E.","A",2900,
"P)E.","B",16,
"P)E:","A",2080,
"P)E:","B",15,
"P*E:","A",2080,
"P*E:","B",37,
"P\E.","A",2900,
"P\E.","B",25,
"P\E0","A",1000,
"P\E0","B",28,
"P\E,","A",2080,
"P\E,","B",24,
"P\E4","A",2900,
"P\E4","B",24,
"P\E5","A",2900,
"P\E5","B",24,
"P\E:","A",2080,
"P\E:","B",22,
"P]E:","A",2080,
"P]E:","B",22,
"P^E,","A",2080,
"P^E,","B",24,
"P^E.","A",2900,
"P^E.","B",25,
"P^E0","A",1000,
"P^E0","B",28,
"P^E4","A",2900,
"P^E4","B",24,
"P^E5","A",2900,
"P^E5","B",24,
"P^E:","A",2080,
"P^E:","B",22,
"P_E(","A",4160,
"P_E(","B",19,
"P_E.","A",2900,
"P_E.","B",19,
"P_E0","A",1000,
"P_E0","B",19,
"P_E1","A",2080,
"P_E1","B","18,5",
"P_E2","A",2080,
"P_E2","B","18,5",
"P_E6","A",2080,
"P_E6","B","18,5",
"P_E:","A",2080,
"P_E:","B",17,
"P_E?","A",4160,
"P_E?","B",19,
"P`E.","A",2900,
"P`E.","B",25,
"P`E0","A",1000,
"P`E0","B",30,
"P`E:","A",2080,
"P`E:","B",25,
"PaE.","A",2900,
"PaE.","B",25,
"PaE0","A",1000,
"PaE0","B",30,
"PbE.","A",2900,
"PbE.","B",25,
"PbE0","A",1000,
"PbE0","B",30,
"PbE:","A",2080,
"PbE:","B","24,5",
"PcE.","A",2900,
"PcE.","B",25,
"PcE0","A",1000,
"PcE0","B",30,
"PcE:","A",2080,
"PcE:","B","24,5",
"PfE4","A",2900,
"PfE4","B",35,
"PfE5","A",2900,
"PfE5","B",35,
"PfE:","A",2080,
"PfE:","B",31,
"PfE0","A",1000,
"PfE0","B",38,
"PpE:","A",2080,
"PpE:","B",42,
"PgE:","A",2080,
"PgE:","B",37,
"PlE:","A",2080,
"PlE:","B",37,
"PnE:","A",2080,
"PnE:","B",31,
"PrE:","A",2080,
"PrE:","B",39,
"PtE:","A",2080,
"PtE:","B",37,
"PvE0","A",2900,
"PvE0","B",35,
"PvE:","A",2080,
"PvE:","B",29,
"QWE9","A",2080,
"QWE9","B",15,
"QWE?","A",4160,
"QWE?","B",17,
"QWEA","A",2500,
"QWEA","B",15,
"QWEB","A",2080,
"QWEB","B",15,
"QZE.","A",2900,
"QZE.","B",16,
"Q~E/","A",2080,
"Q~E/","B",36,
"Q~E9","A",2080,
"Q~E9","B",34,
"QБE/","A",2900,
"QБE/","B",31,
"QБE4","A",2900,
"QБE4","B",33,
"QБE9","A",2080,
"QБE9","B",30,
"QГE9","A",2080,
"QГE9","B",30,
"N7E(","A",4160,
"N7E(","B",11,
"N7E*","A",2900,
"N7E*","B",9,
"N7E+","A",2900,
"N7E+","B",9,
"N8E*","A",2900,
"N8E*","B",9,
"N8E+","A",2900,
"N8E+","B",9,
"ONE*","A",2900,
"ONE*","B","18,5",
"ONE+","A",2900,
"ONE+","B","18,5",
"ONE(","A",4160,
"ONE(","B","18,5",
"N/E(","A",4160,
"N/E(","B","9,5",
"N/E)","A",2080,
"N/E)","B","8,5",
"N/E+","A",2900,
"N/E+","B","9,5",
"N+E)","A",2080,
"N+E)","B",10,
,"I",0,"D:\ASU\DBF\AUTO.DBF"
,"I",0,"D:\ASU\DBF\COLOR.IDX"
,"I",0,"D:\ASU\DBF\YEAR.IDX"
,"I",0,"D:\ASU\DBF\D_PASS.IDX"
,"I",0,"D:\ASU\DBF\DBSIGN.IDX"
,"I",0,"D:\ASU\DBF\GROUP.IDX"
,"I",0,"D:\ASU\DBF\INV.IDX"
,"I",0,"D:\ASU\DBF\TYPE.IDX"
,"I",0,"D:\ASU\DBF\MARK.IDX"
,"I",0,"D:\ASU\DBF\D_EXPL.IDX"
,"I",0,"D:\ASU\DBF\SOUR.IDX"
,"I",0,"D:\ASU\DBF\N_PASS.IDX"
,"I",0,"D:\ASU\DBF\OWNER.IDX"
,"I",0,"D:\ASU\DBF\PLANT.IDX"
,"I",0,"D:\ASU\DBF\SIGN.IDX"
,"J",0,"D:\ASU\DBF\RUNNING.DBF"
,"K",0,"D:\ASU\DBF\CHANGE.DBF"
,"K",0,"D:\ASU\DBF\CH_LONG.DBF"
,"K",0,"D:\ASU\DBF\CH_TIME.DBF"
,"K",0,"D:\ASU\DBF\MENU_CH.DBF"
,"K",0,"D:\ASU\DBF\CH_LONG.IDX"
,"K",0,"D:\ASU\DBF\CHANGE2.IDX"
,"L",0,"D:\ASU\DBF\STRUC.DBF"
,"M",0,"D:\ASU\DBF\MENU.DBF"
,"M",0,"D:\ASU\DBF\C_C.IDX"
,"N",0,"D:\ASU\DBF\NORM.DBF"
,"N",0,"D:\ASU\DBF\COEFGR.IDX"
,"O",0,"D:\ASU\DBF\KARTMAT.DBF"
,"O",0,"D:\ASU\DBF\MATKART.IDX"
,"O",0,"D:\ASU\DBF\MATNOM.IDX"
,"O",0,"D:\ASU\DBF\MATNAME.IDX"
,"P",0,"D:\ASU\DBF\NORM_A.DBF"
,"Q",0,"D:\ASU\DBF\MAT_CH.DBF"
,"Q",0,"D:\ASU\DBF\NKART.IDX"
"N=E*","A",2900,
"N=E*","B",8,
"N=E+","A",2900,
"N=E+","B",9,
"NXE)","A",2080,
"NXE)","B",10,
"N?E)","A",2080,
"N?E)","B","8,5",
"N?E*","A",2900,
"N?E*","B","8,5",
"N?E+","A",2900,
"N?E+","B","8,5",
"N@E)","A",2080,
"N@E)","B",10,
"N@E*","A",2900,
"N@E*","B",11,
"N@E+","A",2900,
"N@E+","B",11,
"NRE)","A",2080,
"NRE)","B","8,5",
"NRE*","A",2900,
"NRE*","B","8,5",
"NnE)","A",2080,
"NnE)","B",7,
"NhE)","A",2080,
"NhE)","B",7,
"Q*E9","A",2080,
"Q*E9","B",30,
"QЙE9","A",2080,
"QЙE9","B",32,
"QE9","A",2080,
"QE9","B",34,
"Q,E9","A",2080,
"Q,E9","B",17,
"QВE9","A",2080,
"QВE9","B",17,
"QАE9","A",2080,
"QАE9","B",17,
"P-E:","A",2080,
"P-E:","B",16,
"PkE:","A",2080,
"PkE:","B",25,
"PeE:","A",2080,
"PeE:","B",23,
"PjE:","A",2080,
"PjE:","B",28,
"PoE:","A",2080,
"PoE:","B",28,
"PzE:","A",2080,
"PzE:","B","25,5",
"PwE:","A",2080,
"PwE:","B",25,
"PxE`","A",2080,
"PxE`","B",25,
"P2E:","A",2080,
"P2E:","B",32,
"PsEU","A",2080,
"PsEU","B",37,
"PtEU","A",2080,
"PtEU","B",37,
"PuEU","A",2080,
"PuEU","B",36,
"PyEU","A",2080,
"PyEU","B",32,
"PqEU","A",2080,
"PqEU","B","36,5",
"NDE)","A",2080,
"NDE)","B",11,
"NDE+","A",2900,
"NDE+","B",13,
"NmE)","A",2080,
"NmE)","B",14,
"PqE`","A",2080,
"PqE`","B","36,5",
"PqE:","A",2080,
"PqE:","B","36,5",
"PyE`","A",2080,
"PyE`","B",34,
"OPE)","A",2080,
"OPE)","B","16,5",
"Y(EM","A",1000,
"Y(EM","B",75,
"Y)EM","A",1000,
"Y)EM","B",65,
"[(E]","A",1000,
"[(E]","B",45,
"N4E)","A",2080,
"N4E)","B","8,5",
"N4E+","A",2900,
"N4E+","B","8,5",
"N:E*","A",2900,
"N:E*","B",8,
"N:E+","A",2900,
"N:E+","B",8,
"N>E)","A",2080,
"N>E)","B",8,
"N>E*","A",2900,
"N>E*","B",8,
"N>E+","A",2900,
"N>E+","B",8,
"NCE)","A",2080,
"NCE)","B",10,
"NCE*","A",2900,
"NCE*","B",10,
"NCE+","A",2900,
"NCE+","B",10,
"NDE*","A",2900,
"NDE*","B",13,
"NEE)","A",2080,
"NEE)","B","6,5",
"NIE)","A",2080,
"NIE)","B","13,5",
"NLE)","A",2080,
"NLE)","B","16,5",
"NLE+","A",2900,
"NLE+","B","16,5",
"NNE)","A",2080,
"NNE)","B",10,
"NOE)","A",2080,
"NOE)","B","8,5",
"NOE*","A",2900,
"NOE*","B","8,5",
"NOE+","A",2900,
"NOE+","B","8,5",
"NRE+","A",2900,
"NRE+","B","8,5",
"NTE)","A",2080,
"NTE)","B","13,5",
"NTE*","A",2900,
"NTE*","B","13,5",
"NTE+","A",2900,
"NTE+","B","13,5",
"NVE)","A",2080,
"NVE)","B",0,
"O*E*","A",3770,
"O*E*","B","21,5",
"A2@,","C",16,
"A2F*","C",16,
"A2F)","C",16,
"A2F+","C",16,
"A2@+","C",16,
"A2@-","C",16,
"A2@(","C",16,
"A2@)","C",16,
"A2@*","C",16,
